rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,param_model__criterion,param_model__max_depth,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_leaf_nodes,param_model__class_weight,param_model__ccp_alpha,train_validation_auprc_gap
139,0.11119232262877836,0.00209052452621058,0.11512836639471147,0.003255595541072301,entropy,5,500,100,log2,63,"{0: 1, 1: 4}",0.0005,0.003936043765933109
140,0.10915104669370826,0.004757745334346369,0.11028023470654418,0.004882570385974422,log_loss,12,50,25,log2,63,,0.0005,0.001129188012835916
141,0.10899174221729195,0.0013282365344203571,0.11026283820904041,0.0024308148908212925,gini,,200,100,0.5,127,,0.0005,0.001271095991748461
142,0.10818595983349888,0.006131762171811462,0.11135335803545035,0.0060437726985408885,gini,3,100,200,sqrt,31,"{0: 1, 1: 2}",0.001,0.0031673982019514713
143,0.10811570291775899,0.0029988925513097326,0.11012473452847564,0.003034109740779119,gini,4,100,200,log2,127,"{0: 1, 1: 4}",0.0005,0.0020090316107166523
144,0.10790387384921074,0.0037882435064551137,0.11212137253104096,0.0030864580761029367,entropy,3,20,10,log2,,balanced,0.0,0.004217498681830217
145,0.10761215450443398,0.0018022977108532313,0.10758464988061074,0.00045214740638200077,gini,12,500,400,,31,,0.001,-2.7504623823240704e-05
145,0.10761215450443398,0.0018022977108532313,0.10758464988061074,0.00045214740638200077,gini,6,50,400,,63,,0.001,-2.7504623823240704e-05
145,0.10761215450443398,0.0018022977108532313,0.10758464988061074,0.00045214740638200077,gini,,200,100,0.5,63,,0.001,-2.7504623823240704e-05
145,0.10761215450443398,0.0018022977108532313,0.10758464988061074,0.00045214740638200077,gini,4,500,25,0.5,31,,0.001,-2.7504623823240704e-05
149,0.10711930159518043,0.005157851729907349,0.10969369413664395,0.003528454889853597,gini,3,20,100,log2,,"{0: 1, 1: 6}",0.0005,0.0025743925414635216
150,0.10509310577978444,0.001248083923878508,0.1068876523354992,0.001515873525535887,gini,5,500,100,log2,31,"{0: 1, 1: 2}",0.001,0.00179454655571476
